code,id,name,name_kana,name_formal,station_size,company_code,color,symbol,closed,closed_date,impl
31024,bbdba9,近鉄西信貴ケーブル,きんてつにししぎけーぶる,近鉄西信貴鋼索線,2,21,#F0E68C,Z,0,NULL,1
31025,97304d,近鉄京都線,きんてつきょうとせん,NULL,28,21,#EEC900,B,0,NULL,1
31026,1afe9f,近鉄生駒ケーブル,きんてついこまけーぶる,近鉄生駒鋼索線,5,21,#F0E68C,Y,0,NULL,1
31027,36caa8,近鉄名古屋線,きんてつなごやせん,NULL,44,21,#0000FF,E,0,NULL,1
32001,79e172,南海本線,なんかいほんせん,NULL,41,22,#0065AF,NK,0,NULL,1
32002,d1b6e3,南海空港線,なんかいくうこうせん,NULL,3,22,#594BAC,NK,0,NULL,1
32003,e7c00e,南海和歌山港線,なんかいわかやまこうせん,NULL,6,22,#0065AF,NK,0,NULL,1
32004,f80e09,南海高師浜線,なんかいたかしのはません,NULL,3,22,#0065AF,NK,0,NULL,1
32005,59ff87,南海加太線,なんかいかだせん,NULL,9,22,#0065AF,NK,0,NULL,1
32006,8680ce,南海多奈川線,なんかいたながわせん,NULL,4,22,#0065AF,NK,0,NULL,1
32007,3735e5,南海高野線(りんかんサンライン),なんかいこうやせん,南海高野線,42,22,#009A41,NK,0,NULL,1
32008,f49ced,南海高野山ケーブル,なんかいこうやさんけーぶる,NULL,2,22,#009A41,NK,0,NULL,1
32009,e4a1f5,南海汐見橋線,なんかいしおみばしせん,NULL,6,22,#009A41,NK,0,NULL,1
33001,3a1efc,京阪本線,けいはんほんせん,NULL,42,23,#66CC33,KH,0,NULL,1
33002,11486a,京阪宇治線,けいはんうじせん,NULL,8,23,#66CC33,KH,0,NULL,1
33003,171ce6,京阪交野線,けいはんかたのせん,NULL,8,23,#66CC33,KH,0,NULL,1
33004,8efcb0,京阪鴨東線,けいはんおうとうせん,NULL,3,23,#66CC33,KH,0,NULL,1
33005,f9ab89,京阪石清水八幡宮参道ケーブル,けいはんいわしみずはちまんぐうさんどうけーぶる,京阪鋼索線,2,23,NULL,NULL,0,NULL,1
33006,3112ac,京阪石山坂本線,けいはんいしやまさかもとせん,NULL,21,23,#009933,OT,0,NULL,1
33007,1b69da,京阪京津線,けいはんけいしんせん,NULL,12,23,#FFCC00,OT,0,NULL,1
33008,3d7afc,京阪中之島線,けいはんなかのしません,NULL,5,23,#66CC33,KH,0,NULL,1
34001,a935bb,阪急神戸本線,はんきゅうこうべほんせん,NULL,16,24,#0000FF,HK,0,NULL,1
34002,31d269,阪急宝塚本線,はんきゅうたからづかほんせん,NULL,19,24,#FFA500,HK,0,NULL,1
34003,c50e84,阪急京都本線,はんきゅうきょうとほんせん,NULL,28,24,#32CD32,HK,0,NULL,1
34004,a65201,阪急今津線,はんきゅういまづせん,NULL,10,24,#0000FF,HK,0,NULL,1
34005,f7e5d4,阪急甲陽線,はんきゅうこうようせん,NULL,3,24,#0000FF,HK,0,NULL,1
34006,8a4ff8,阪急伊丹線,はんきゅういたみせん,NULL,4,24,#0000FF,HK,0,NULL,1
34007,63f7a1,阪急箕面線,はんきゅうみのおせん,NULL,4,24,#FFA500,HK,0,NULL,1
34008,c90346,阪急千里線,はんきゅうせんりせん,NULL,11,24,#32CD32,HK,0,NULL,1
34009,27c7e7,阪急嵐山線,はんきゅうあらしやません,NULL,4,24,#32CD32,HK,0,NULL,1
35001,ee70aa,阪神本線,はんしんほんせん,NULL,33,25,NULL,HS,0,NULL,1
35002,708c3b,阪神なんば線,はんしんなんばせん,NULL,11,25,NULL,HS,0,NULL,1
35003,58f677,阪神武庫川線,はんしんむこがわせん,NULL,4,25,NULL,HS,0,NULL,1
36001,88f993,西鉄天神大牟田線,にしてつてんじんおおむたせん,NULL,49,26,NULL,T,0,NULL,1
36002,d19406,西鉄太宰府線,にしてつだざいふせん,NULL,3,26,NULL,D,0,NULL,1
36003,673daf,西鉄甘木線,にしてつあまぎせん,NULL,12,26,NULL,A,0,NULL,1
36004,e4c7a6,西鉄貝塚線,にしてつかいづかせん,NULL,16,26,NULL,NK,0,NULL,1
99101,3b2d10,札幌市営地下鉄東西線,さっぽろしえいちかてつとうざいせん,NULL,19,101,#FFA500,T,0,NULL,1
99102,92e4f0,札幌市営地下鉄南北線,さっぽろしえいちかてつなんぼくせん,NULL,16,101,#008000,N,0,NULL,1
99103,68f4f3,札幌市営地下鉄東豊線,さっぽろしえいちかてつとうほうせん,NULL,14,101,#0080FF,H,0,NULL,1
99104,3020a3,札幌市電山鼻線,さっぽろしでんやまはなせん,NULL,24,101,NULL,SC,0,NULL,1
99105,4a31cb,函館市電２系統,はこだてしでんにけいとう,NULL,23,102,#FF0000,NULL,0,NULL,1
99106,67ae7d,函館市電５系統,はこだてしでんごけいとう,NULL,23,102,#0000FF,NULL,0,NULL,1
99108,b13753,道南いさりび鉄道線,どうなんいさりびてつどう,NULL,12,248,#246DAC,NULL,0,NULL,1
99201,acc4c3,津軽鉄道,つがるてつどう,津軽鉄道線,12,104,NULL,NULL,0,NULL,1
99202,413cdd,弘南鉄道弘南線,こうなんてつどうこうなんせん,NULL,13,105,NULL,NULL,0,NULL,1
99203,3eebb3,弘南鉄道大鰐線,こうなんてつどうおおわにせん,NULL,14,105,NULL,NULL,0,NULL,1
99204,d3923b,十和田観光電鉄,とわだかんこうでんてつ,NULL,11,106,NULL,NULL,1,2012-04-01,1
99205,151a49,いわて銀河鉄道,いわてぎんがてつどう,いわて銀河鉄道線,18,107,#03459A,NULL,0,NULL,1
99206,c3749c,青い森鉄道,あおいもりてつどう,青い森鉄道線,27,108,#33CBF4,NULL,0,NULL,1
99207,770bbf,三陸鉄道北リアス線,さんりくてつどうきたりあすせん,NULL,17,109,NULL,NULL,1,2019-03-23,1
99208,1c51cd,三陸鉄道リアス線,さんりくてつどうりあすせん,NULL,41,109,#FF0000,NULL,0,NULL,1
99209,a67173,秋田内陸縦貫鉄道,あきたないりくじゅうかんてつどう,秋田内陸縦貫鉄道秋田内陸線,29,110,NULL,NULL,0,NULL,1
99210,eea167,由利高原鉄道,ゆりこうげんてつどう,由利高原鉄道鳥海山ろく線,12,111,NULL,NULL,0,NULL,1
99211,7ebf02,山形鉄道フラワー長井線,やまがたてつどうふらわーながいせん,NULL,17,112,NULL,NULL,0,NULL,1
99213,6e6947,阿武隈急行,あぶくまきゅうこう,阿武隈急行線,24,114,NULL,NULL,0,NULL,1
99214,96c1e1,仙台市営地下鉄南北線,せんだいしえいちかてつなんぼくせん,NULL,17,115,#009900,N,0,NULL,1
99218,dedda2,仙台市営地下鉄東西線,せんだいしえいちかてつとうざいせん,NULL,13,115,#90D7EC,T,0,NULL,1
99215,c0ba5d,福島交通飯坂線,ふくしまこうつういいざかせん,NULL,12,116,NULL,NULL,0,NULL,1
99216,29b4b7,会津鉄道,あいづてつどう,会津鉄道会津線,21,117,NULL,NULL,0,NULL,1
99217,a649c3,仙台空港線,せんだいくうこうせん,仙台空港鉄道仙台空港線,4,118,#2A5CAA,NULL,0,NULL,1
99301,05e456,都営大江戸線,とえいおおえどせん,NULL,38,119,#B6007A,E,0,NULL,1
99302,5d6ae3,都営浅草線,とえいあさくさせん,NULL,20,119,#E85298,A,0,NULL,1
99303,a2379f,都営三田線,とえいみたせん,NULL,27,119,#0000FF,I,0,NULL,1
99304,cc4ca6,都営新宿線,とえいしんじゅくせん,NULL,21,119,#6CBB5A,S,0,NULL,1
99305,37c5c0,都営都電荒川線,とえいとでんあらかわせん,NULL,30,119,NULL,NULL,0,NULL,1
99342,ab045c,日暮里・舎人ライナー,にっぽり・とねりらいなー,NULL,13,119,#FF69B4,NT,0,NULL,1
99306,33957a,秩父鉄道,ちちぶてつどう,秩父鉄道秩父本線,37,120,NULL,NULL,0,NULL,1
99307,dd7e1c,埼玉高速鉄道,さいたまこうそくてつどう,埼玉高速鉄道線,8,121,#4682B4,SR,0,NULL,1
99308,f47e57,いすみ鉄道,いすみてつどう,いすみ鉄道いすみ線,14,122,NULL,NULL,0,NULL,1
99309,094058,つくばエクスプレス,つくばえくすぷれす,首都圏新都市鉄道つくばエクスプレス,20,123,#FF3540,NULL,0,NULL,1
99310,293c09,みなとみらい線,みなとみらいせん,みなとみらい21線,6,124,#09357F,MM,0,NULL,1
